	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
31	8824.785716223338	7596.339618610886	8342.323685312178	8719.668915949642	8104.799259143248	8410.50906302618	8681.17519265393	8951.813402893244	8414.842592798099	8428.255578253289	8341.146275111607												
32	6630.234685988653	6009.132090442586	5339.855815625102	5709.7112421117035	5511.124674866416	5715.774043543199	5667.0255634301875	6168.885594390936	4597.573954148726	6217.022821426392	5953.88708166174												
33	7153.700685531374	5777.893543171433	5358.89727948082	5552.072681943277	5316.8748753463715	5444.815116589974	5651.866769519005	6187.51097469409	3914.9520263286554	6190.738515899295	6301.191263156467	6339.323952760994											
34	9627.275134858632	7496.5943458125275	8190.014040657015	8372.755434422239	8093.975167819124	8659.345686755418	8315.855291448584	9037.010432114574	8741.203095630934	8528.663109151204	8638.589211203835	8068.892096198957	9039.996802696814										
35	6470.414977058532	4865.866575421028	5281.6951745001825	5494.352491402762	5049.5656398316805	5307.777139004794	5467.49486400541	6026.929290822861	5606.589817764735	5813.542304697979	5977.086565114031	5198.808225855334	5764.579368308739										
36	7207.69729468936	5243.793799058446	5107.655813875572	5715.717597687369	5501.577429827522	5575.981540385076	5766.300062051065	6288.826363177148	6428.453453014743	5942.312853790993	6719.475481129656	5694.885192871094	6510.619037915301	6749.4873600953015									
37	9527.746031746032	7272.477981279481	8266.788379861297	8619.037252002061	8401.347857001276	8216.692509307122	8558.9121846351	9413.188984036786	8933.679239766581	8887.557293203143	9169.730615480981	8427.870450957482	9441.222208923076	9034.28479122421									
38	6217.225622752356	4570.090309574919	5322.202938644465	5633.750477241807	5800.965478032178	5590.645207669045	5457.332631510231	6112.709703222625	6239.991314463446	5654.4860697980885	5975.108955768624	5550.473223952773	6414.116068187513	6346.560758220616									
39	6619.793650793651	4213.898912537773	5323.312221350166	5674.4250000733155	6112.151062132581	5766.046406175725	5823.805247365478	6303.147419346508	6398.460685681262	6080.582199695533	6487.965377036971	5793.554825165467	6742.096808100321	7009.187871227526									
40	8957.058232383122	6289.8082117044705	8248.155350412906	8541.436211703374	9118.510245495447	8900.68435242322	8804.020111301488	9264.792436092272	9597.677856883889	9043.490250161354	8897.114506885258	9619.140601069385	10047.16095239976	9748.656837538421									
41	5997.577089339968	4715.258771788399	5129.845292095646	5676.309500027863	5988.270571512393	6033.645041152721	5732.081348919355	6067.348082856806	6159.646954601701	5693.721639068782	5806.025970150726	5915.61399622514	6872.313716796875	6583.663379888425	6567.2155628155815	6609.873031374008	6402.9243765438305						
42	5705.368490309942	4500.9662947024935	4799.943706293653	5599.251842859954	5851.139473622239	5712.056134855682	5583.206192302234	5891.829628557521	6185.677396768211	5695.590469108438	6319.993492665917	5973.343324340059	6701.609229893491	6744.301020740328	6185.112596132876	6723.064615885417	6121.274436970097						
43	9359.412725539434	9655.301908097177	7615.730612664576	8896.552794248868	9522.379696087359	9246.180525907004	8977.240298625502	8952.373928264586	9569.728638969405	9082.443224821753	9172.348465119949	9340.154861570343	10367.663968354269	10102.597020935744	9891.937690358922	10039.579399956598	9727.61302909162						
44	6014.8049723307295	7269.567405844635	4905.862665434806	5865.039693516793	6011.070567303394	5967.301407897495	5664.972278259649	6030.939193554299	6270.03537066381	5842.0233359123495	6397.652230927439	6033.115979153686	6683.839290804979	6801.433931132079	6496.546786811719	7110.332213386657	6229.0399534805965						
45	6227.735804966518	7552.0498645710495	4829.580577636719	6131.949626894139	6189.634819612925	6288.423054849401	5962.840221795671	6101.051407046922	6469.94011321334	5904.2816392545055	7180.492053099353	6355.19848656701	7210.037542173483	7287.331490745007	6728.615837152321	8112.820882161458	6849.192143105038						
46	8808.068781777034	10029.39632004958	7183.105664868624	9441.350266001402	9573.620967741936	9437.712900971714	9106.707795559498	9252.334783443766	9684.04063617611	9197.149615484757	9417.001678158538	9562.562921608309	10140.207080366103	10089.756256050256	9440.019677991751	11161.145461309523	9840.106790042619						
47	6102.853742327009	6990.38871022883	5102.528146124505	6213.091317961487	6476.562356439996	6410.252619726949	6039.761905657191	6262.505347607183	6701.040044745696	6048.384446118329	6559.595959595959	6437.4761000602475	7032.558057854189	7221.704316863334	6661.5815421326515	7975.748310391865	6473.269537151291						
48	6623.87302749876	7082.284880385392	5031.93267046819	6184.4623166262445	6301.387050146661	6393.03380189759	5895.395875453949	6167.410294087282	6570.931902957657	5901.436863632435	6972.540392943103	6166.135339532703	6975.147596219903	7190.331573486328	6495.0171437627	7932.3526126922125	6485.237610072306	7029.9630657693615					
49	9740.682504805307	10532.238537500774	8197.442079470393	9344.52733982491	9846.04835684387	9912.949960561898	9152.957244194298	9461.447411428951	9728.085370205134	9336.248109966842	9116.279476897886	9683.09506478981	10023.961779195539	10307.16600881196	9938.545620431789	11210.166682167659	9909.354266093986	10229.51466708713					
50	6717.226767888144	7120.920354001232	5867.241507821713	6177.7484652186495	6735.372900885504	6841.77371027402	6258.840081438565	6450.023057972037	6747.1081833502985	6218.95438133554	6672.7842752475935	6835.012696729177	6899.766122821755	7154.372036715484	6640.974902688251	8071.9342370411705	6790.573256812538	7202.207081914581	7035.019661721503	7324.7166458631345			
51	7561.390012710814	7156.3167702073315	6096.577340262277	6269.409672159678	6500.609753715701	6827.005591749108	6337.754979629723	6319.316993229298	6733.387420262328	6117.407338810629	7125.163063742898	6742.183072064374	6934.24461959792	7280.664650965905	6470.872663276518	8163.665523468502	6720.142420534227	7280.197719688753	7061.397472303741	7660.008111242346	7653.704224891269		
52	11057.521205357143	10410.66699370173	8242.437028253358	9568.017084143428	9612.565151656734	10091.019695611434	9402.58266944784	9561.268830596206	9816.255909489517	9147.865603432625	10327.865318221275	9250.316264454912	9910.508403058819	10153.79217452916	9808.927575449594	11746.264539930555	10003.53501364968	10461.683782526878	9972.90421898381	10895.671740072028	11092.301763499005		
53	7858.374969866774	7033.5264753689235	5951.384239775559	6359.9998442862325	6697.676929895447	7169.196715785649	6380.884026656127	6664.017185905955	6909.861356784497	6413.9760202452835	7835.950922802241	6215.4407832497045	6956.839783824829	7301.533291703564	6396.809521432375	8423.862781343007	6761.511200696202	6975.880139430224	7154.246871444823	7920.012445210904	7639.374803276472		
54	7729.104788576119	6934.282561074534	6045.880053847583	6392.357374756654	6652.955321114018	6920.094984923768	6328.361507824353	6429.636980330139	6905.682839496764	6142.572583654579	8170.854270241477	5569.731412489149	6825.912886191056	7407.242946169504	6148.914039879942	8780.443308996775	6635.127317432076	6879.071053131914	7456.957931971146	8026.974613896123	7429.972520295717		
