	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
22	7069.31554149887	7248.090904158776	8839.69613476076	8491.660380910762	9230.129160959483	9474.068049325993	8926.141973172545	8714.750422133202	8214.115787163466																	
23	4882.180453009354	5283.215534604829	5811.609811092245	5609.942757435982	6129.435207640571	6444.735419915647	5942.350844888126	6287.204063979276	5945.073617385209	5852.171054237767																
24	4792.997020880382	6106.594828638537	5829.101070529311	5717.262295097705	5945.7472525150815	6265.182826330903	6116.090280462195	6612.517089126456	6440.969340842608	6574.617999473315	6842.890909090909															
25	7202.694313642274	9009.721252441406	9091.91089632332	9059.115167586115	9039.737961244851	9453.194207600185	9274.48694148053	9283.991395169078	8523.201700625825	9014.791032933477	9075.288094213452															
26	4802.57660686908	5989.878075961409	5929.527463163838	5983.9028331500695	6124.636001173023	6094.945848987949	6207.916212155717	6496.962039782756	6196.6728445319995	6536.74974024573	6392.658580433239															
27	4562.235886480869	5986.714291276603	5655.656825806175	5841.158913493518	5759.263342911949	5887.1436894389035	6104.574145711263	6539.421832678453	6112.51731346627	6974.717313725898	6775.859459357533															
28	7061.6168765802495	7580.887390557651	9126.024244411046	9468.152867116745	8821.557702061427	9062.325775434387	9123.829425186295	9759.543015839437	9348.920754681343	9525.726509759364	9147.63851017147															
29	5180.109984140548	4663.200970879917	5974.431977792949	6158.401346618171	5954.916162409548	5943.170047944924	6208.782491948869	6695.042512802851	6173.391468038188	6996.488150349069	6611.9960864124405	5786.297343409338														
30	4569.1268126818595	4971.3812571140315	6117.137367628918	6230.089052707334	5932.085390971257	6006.154478441086	6339.230791703586	6573.932879102099	6223.379065747531	7132.229591696603	7031.2004981307	7050.380523126775														
31	7726.676898411342	6972.977651828673	9358.241531501382	9592.225641808143	9221.2543258667	9437.79025328393	9490.739071145823	9543.578658423388	9325.146369336999	9646.749374657347	9367.055365011354	8719.913527862935														
32	6548.110785659479	4589.889884524875	6193.4700973103845	6540.786151085944	6173.6555243967505	6292.827291257741	6417.894312481548	6457.719642370283	6384.238464010044	6738.8510497567895	7131.465462414594	6319.458600714268														
33	6686.895008943518	4257.642366185682	6025.2171189332885	6380.84735116726	5981.664811644776	5941.808850315639	6165.901020628034	6370.29607282366	6168.820238191399	6497.704056254194	7062.847522442157	6416.364989650307	7664.458968551071	7338.178276411984												
34	8449.452399584712	6940.755095397534	9294.96860130606	9515.749167594635	9173.734891880325	9271.724106877487	9647.177370593534	9424.819449651808	9545.872174553546	9811.970278629542	9846.914731580158	8905.58682169751	10009.883177667602	9810.278573107364												
35	5738.5831115099845	4524.519462354256	6028.1138967264105	6562.658440366832	5966.779771449573	6127.081038542115	6077.370387675031	6303.863743239182	6121.982753096379	6403.730540483681	6543.350869315012	6314.413472672583	7285.154735076122	6653.083478949044												
36	6599.46938837791	4887.585082477072	6052.377477621316	6547.079284519825	6121.52493113095	5966.1972387953465	6289.8734531761565	6359.929405095027	6291.181819122267	6419.433130664062	6734.183426866253	6841.180212681589	7562.526993914348	7283.330226312682												
37	8534.748297243703	9231.35652173913	9112.667731303318	9999.681529381882	9115.173363818833	9180.444452386153	9323.692825195869	9624.34479535814	9475.169179516073	9516.495328248688	10123.789238420837	10026.281968895164	9072.127821327153	9725.897072454085	9905.431692654969											
38	5244.970336247012	6847.863356615149	5682.115550109551	6574.019991827693	6120.076761663126	6203.50609259172	6150.512876011271	6473.84081624349	6096.625377375442	6319.596028720357	6724.067519058321	7012.213290664385	6772.960812674628	6597.738373525044	6546.471931116922											
39	5556.6242016879	7315.61115404212	5705.828808433132	6630.813663291293	6081.67890539883	6158.418379365973	6193.592654606846	6394.183189560562	6126.225890474367	6402.126410004586	6728.174387298362	7217.552320246111	7266.791266709744	7008.625530436198	7206.531121584449	7744.797611490885										
40	7692.855457850865	11144.142004925272	9026.809537710462	10058.788219933143	9422.86815343699	9705.159953377944	9589.842446771849	9556.326167978266	9111.133620002636	9402.029214982862	9923.916261682432	10654.99288619817	10176.068930101645	9957.921933285825	10132.345777076309	10633.016758181015										
41	5083.200145403544	7402.724263332201	6586.107662691389	6775.009118212811	6270.270787039719	6571.06166997565	6039.415773830774	6502.299903347876	6156.054896005675	6313.907641904108	6794.348707532668	7263.427215916879	6709.818532582876	6887.842150637183	6837.4856218062105	7487.135751285909	6987.165066189236									
42	5256.726455341686	7463.925460682744	6102.045394461496	6679.6491356927	6137.692616592991	6318.999793854195	5974.690945756939	6229.4497959665305	5902.594429001745	5994.917580850636	6314.488233076659	6775.95267107551	6764.435184348277	6961.075129816664	7010.4486849072955	7395.733555927178	7108.541710649612									
43	7896.637511539981	10022.736236837636	9849.036310659136	10125.800594961716	9667.157481578173	10071.612689451738	9399.57866821841	9715.164440057692	9480.649819921045	9175.021628825716	9847.71749015808	9836.667823259839	9749.413823639032	10460.815529602702	10032.77285976036	10714.559615964812	9662.960625943271									
44	5249.407033642333	5932.575133746604	6755.124232046945	6762.924675357703	6277.79440945712	6719.883705507784	6282.557950898846	6280.291672304037	6239.306479739642	6192.477523061027	6590.409904204004	6476.992856295904	6855.232745942615	6901.845947359381	7018.5387195529975	7451.901151080464	7105.247160108827	7394.965607819734								
45	5488.441864911248	5667.1130424167795	6788.595925549099	7089.146847987692	6466.3240903088645	6851.878915127841	6474.848999679359	6562.159748455426	6262.1139990092315	6364.063070349418	6727.357460588347	6722.124758551227	7076.940114230644	7374.138860410802	7468.941294352214	7912.538121732554	7506.182309172874	7997.442336336188								
46	7821.64625673878	7583.707231869905	9430.504157597677	10530.461434104225	9468.077970812397	10240.562187945905	9636.52760189314	10016.222727557806	9626.118711827317	9810.302068772888	10129.43666850095	9729.911524303376	10155.19756445724	10574.686822325319	10528.459484361623	11259.831717857947	10336.021480914244	10593.388092041016								
47	5462.0148103295305	5588.663348654042	6973.62295085362	7345.092269287109	6655.116449231932	6860.648168229515	6265.047387404811	6887.386929430769	6438.300153008823	6650.545578581183	6787.850702127986	6692.596130307674	6860.5944134110105	7168.9017679451335	7561.962390505971	7630.5779077806055	7544.784564997874	7866.832846090097	8356.765160537347	7803.2432424184435						
48	5125.163383102417	6501.639730171535	6820.568882860456	6871.103870496838	6529.815188392494	6727.204343729351	6153.191426198859	6646.5431825454625	6283.851163555893	6434.346358071981	6344.70343159808	6455.173203230853	6699.546047686917	6924.215087814993	7427.7672542369955	7942.116247739587	7299.351778310687	8093.004059184681	8490.735019339767	8024.243311405182						
49	7409.03493918142	10415.881167204483	9687.243454606192	10121.31674818176	10283.047674444131	9921.174474025318	9382.171628488542	10207.37866291247	9750.468670824937	9503.620892164567	9734.735233780808	9809.988797925243	9410.90354144921	10622.297580918743	9620.844841554497	11330.408390779672	9986.487050922473	10981.733187009453	11491.642033322447	10517.390261967977						
50	5976.570276814123	7588.849672002378	7241.726784297398	6720.838597418853	6895.994202259678	7032.31546570642	7150.519512056344	7051.5373875863925	6766.537845510521	6595.51537324111	6615.601573637587	6871.503730577378	6509.68245465041	6766.203610065796	6634.922054108135	7969.376640006879	7058.968468281413	7891.282212140204	7829.567747450366	7824.0094232139345	8580.80018712744					
51	5311.259201295914	7052.64844838018	7291.8398046221055	7835.325207704997	7068.095046300737	6913.947158298723	7258.922868453365	6979.699938727814	6727.255316342351	6625.556318486346	6484.256815227083	6752.1616312555	6837.262086214157	7157.910959081265	6318.291103919347	7638.699063269448	7104.926841637607	7976.458350954217	8247.762561499405	7808.441226457869	9000.350766705453	7731.274787902832	7341.520488605633			
52	8456.325292771862	10711.594229789402	9793.047034754072	11525.612328966678	10527.877650090268	10255.429557011044	10307.976144521717	10248.690617325776	10068.72512535388	9830.27038425899	9592.144083677367	9857.52453143621	9434.550785601139	10305.651352082667	9549.954003026089	10369.738264942896	10104.708900721911	11124.072072524903	11225.245268879571	10510.487921968175	12174.984406166888	10159.67668582511	9868.45215912185	12002.921463889637		
53	5910.256927982454	7446.30065174932	7468.443876756941	8090.505125267071	7235.117408008352	7156.871800111469	7375.593014811421	7271.478186134907	6987.103927934926	6646.9644745298	6853.117963052673	6836.1191213723	6726.997545873493	7166.30896022554	6294.644905253819	7520.938291632269	7031.09286546253	8099.575531619718	7998.832077531625	7860.936880786482	8906.25163522274	7301.48631424535	7297.937901095872	8793.664536420038	8837.835934361048	
54	5156.044924828314	7890.41241295856	7477.727279390608	8017.325979496234	7261.1628533650655	7242.531558253184	7182.073707511946	7222.743484955751	6742.013394591749	6605.959044183087	6656.5385274455775	6707.188506705447	6643.668114207105	7137.201008668505	6454.766997660101	7486.899232602031	7029.827266664617	7979.246554603105	8031.044986918435	8314.761987217025	9336.846831366356	7675.577581049321	7331.041903226992	8856.09613843234	9290.650962311758	
55	8234.31449742471	11386.26086107337	10934.651175226483	10883.39871671055	10349.667937843167	10492.97244767409	9111.824467756469	10564.064968901012	10319.481459777478	10036.48365867817	10123.787426120209	9951.765152908525	9902.671284898535	10403.752890322625	9353.330629174656	10611.124964713188	10023.918204733785	11287.469292820988	11201.503259072757	11466.019299670234	12193.829770611703	10600.635466841726	10488.477681023734	11629.875778893684	12102.853009081262	
56	6911.662467710434	7635.291920006794	8047.4913307189945	7889.009865102188	7711.491192264644	7434.093412252573	7485.160082579303	7493.356860619581	7231.60574669571	6854.945085741908	7023.151228070077	6983.944807122299	6857.627289204658	7347.635508194284	6869.767104504155	7501.414356840621	7072.487319074358	7942.035266682253	7897.679588342143	8328.316347409183	8963.290577210772	6939.356491481878	7400.217417501842	8276.358510356977	9303.269457853294	
57	8021.301876929499	7183.418656589674	8406.292851965767	7169.933474121094	7698.749275142311	8329.970060612604	7547.747907668475	7614.958632175665	7358.22221538458	7010.397680424897	7212.962073765444	7132.108022800855	6766.539280725591	7459.89630780727	7106.80625412608	7572.61532260063	7139.2402430061165	7816.250762538312	7851.623218270235	8346.432905683956	9759.640118018617	7758.673269146525	7508.1433343855215	8762.03368334089	9357.185090450437	8596.475902513017
